Postcode;Borough;Neighbourhood;latlng;Latitude;Longitude
M1B;Scarborough;Rouge,Malvern;"43.653963;-79.387207";43.653963;-79.387207
M1C;Scarborough;Highland Creek,Rouge Hill,Port Union;"43.653963;-79.387207";43.653963;-79.387207
M1E;Scarborough;Guildwood,Morningside,West Hill;"43.7678;-79.1866";43.7678;-79.1866
M1G;Scarborough;Woburn;"43.7657168;-79.2218984";43.7657168;-79.2218984
M1H;Scarborough;Cedarbrae;"43.7686;-79.2389";43.7686;-79.2389
M1J;Scarborough;Scarborough Village;"43.7464;-79.2323";43.7464;-79.2323
M1K;Scarborough;East Birchmount Park,Ionview,Kennedy Park;"43.7298;-79.2639";43.7298;-79.2639
M1L;Scarborough;Clairlea,Golden Mile,Oakridge;"43.7122;-79.2843";43.7122;-79.2843
M1M;Scarborough;Cliffcrest,Cliffside,Scarborough Village West;"43.7247;-79.2312";43.7247;-79.2312
M1N;Scarborough;Birch Cliff,Cliffside West;"43.6952;-79.2646";43.6952;-79.2646
M1P;Scarborough;Dorset Park,Scarborough Town Centre,Wexford Heights;"43.7612;-79.2707";43.7612;-79.2707
M1R;Scarborough;Maryvale,Wexford;"43.7507;-79.3003";43.7507;-79.3003
M1S;Scarborough;Agincourt;"43.7946;-79.2644";43.7946;-79.2644
M1T;Scarborough;Clarks Corners,Sullivan,Tam O'Shanter;"43.7812;-79.3036";43.7812;-79.3036
M1V;Scarborough;Agincourt North,L'Amoreaux East,Milliken,Steeles East;"43.8177;-79.2819";43.8177;-79.2819
M1W;Scarborough;L'Amoreaux West;"43.8154547;-79.327721";43.8154547;-79.327721
M1X;Scarborough;Upper Rouge;"43.834;-79.2069";43.834;-79.2069
M2H;North York;Hillcrest Village;"43.8015;-79.3577";43.8015;-79.3577
M2J;North York;Fairview,Henry Farm,Oriole;"43.7797719;-79.3661846";43.7797719;-79.3661846
M2K;North York;Bayview Village;"43.7797;-79.3813";43.7797;-79.3813
M2L;North York;Silver Hills,York Mills;"43.7547;-79.3764";43.7547;-79.3764
M2M;North York;Newtonbrook,Willowdale;"43.7635305;-79.4111469";43.7635305;-79.4111469
M2N;North York;Willowdale South;"43.7792386;-79.4165934";43.7792386;-79.4165934
M2P;North York;York Mills West;"43.75;-79.3978";43.75;-79.3978
M2R;North York;Willowdale West;"43.7786;-79.445";43.7786;-79.445
M3A;North York;Parkwoods;"43.7545;-79.33";43.7545;-79.33
M3B;North York;Don Mills North;"43.745;-79.359";43.745;-79.359
M3C;North York;Flemingdon Park,Don Mills South;"43.7328216;-79.3469614";43.7328216;-79.3469614
M3H;North York;Bathurst Manor,Downsview North,Wilson Heights;"43.7561987;-79.4398017";43.7561987;-79.4398017
M3J;North York;Northwood Park,York University;"43.7739937;-79.4922597";43.7739937;-79.4922597
M3K;North York;CFB Toronto,Downsview East;"43.739;-79.4692";43.739;-79.4692
M3L;North York;Downsview West;"43.7334;-79.5116";43.7334;-79.5116
M3M;North York;Downsview Central;"43.7319;-79.4928";43.7319;-79.4928
M3N;North York;Downsview Northwest;"43.7568;-79.521";43.7568;-79.521
